index,exclude_genes,E_pop,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
MTG1,True,5.884212223878403,False,0.7331784912632696,1.2109927233827504,0.56527376,0,False
OAS1,True,6.447499940177619,False,0.6626633963309246,1.555688950336449,1.1952821,0,False
PHB2,True,7.723303567639586,False,1.2197485023574877,1.1763727077214128,0.45429492,0,False
PLK1S1,True,4.6063553472598,False,0.34367139148025994,1.360609601570642,0.80205965,0,False
CPVL,True,6.143111779314791,False,0.5240351296403417,1.437743838627481,0.918442,0,False
TLK1,True,5.765899781041193,False,0.8465651873113929,1.0125360281370497,0.18458246,0,False
ZNF384,True,4.197396485377746,False,0.3210690300346767,1.1295693534917317,0.3526528,0,False
FAM177A1,True,5.015229085086425,False,0.8003406787213673,0.2769055093297274,-1.1679391,0,False
RPN1,True,7.535169304421026,False,1.1717710834612758,1.0419998627830251,0.18285699,0,False
PMVK,True,5.723594015147568,False,0.680192178453161,1.2256662881345983,0.5501986,0,False
EIF3D,True,8.005536119597522,False,1.3300797267942945,1.1059739947120302,0.41381282,0,False
HPS1,True,5.993503621191642,False,0.8124616062940353,1.0757291878410062,0.3074734,0,False
MPC2,True,5.453599965075642,False,0.8423814597570117,0.651412333943021,-0.5258822,0,False
RNF7,True,6.7188542943659115,False,1.252484172080159,0.38487504439653897,-1.6380744,0,False
KCTD13,True,4.1176906474326955,False,0.30654881068692685,1.3816454665403997,0.7795431,0,False
KLHL28,True,4.4263822369545975,False,0.5544685273614488,0.616618878868682,-0.55719626,0,False
XKR9,True,5.0509719142278655,False,0.8942682883581291,0.07864132862770411,-1.4945903,0,False
IL8,True,6.31639247840018,True,0.16463317899591418,1.7525140912448567,1.6130363,1,False
FBXL20,True,4.443628059354456,False,0.7459223314272401,-0.08082176534927357,-1.835376,0,False
RPL21P28,False,11.02435842938809,True,2.0053684619109102,0.9322339152086891,1.7960535,2,True
GTF2IP1,True,4.426707271140391,False,0.5078690592108785,0.9901627956834154,0.11960684,0,False
RAB20,True,4.488298170971626,False,0.27427884652478596,1.4668332624510576,0.97308856,0,False
RBM7,True,5.105451736896348,False,0.4682314815461369,1.3714347888222276,0.8548234,0,False
TAF9,True,7.3842121002333885,False,1.061558281570202,1.299055964212002,0.7643665,0,False
TERF2,True,4.297237988265288,False,0.610597715646491,0.35974731443042063,-1.0294553,0,False
TNFRSF1A,True,5.306701330658468,False,0.5679369088022923,1.1538451940016263,0.4295807,0,False
AKAP2,True,4.406047197752616,False,0.4449419768128433,1.1382934052057891,0.3701746,0,False
ACADVL,True,6.361143530527065,False,0.817195525826335,1.1427579089932984,0.44436538,0,False
ZBTB8OS,True,5.558747462273466,False,0.6038060562593353,1.3073254006106494,0.71411395,0,False
HAUS4,True,5.2050600152855155,False,0.4785685291061639,1.3397195298933142,0.7650166,0,False
GPR174,True,6.165315870003914,False,0.6593626728303792,1.5454796669526225,1.206346,0,False
EMC9,True,4.115463200481765,False,0.254696927451629,1.414101766421521,0.8614039,0,False
KIAA0319L,True,5.06837940456699,False,0.7096709807047593,0.5915149389915578,-0.58672684,0,False
SDHD,True,7.110654195927477,False,1.0323080848427977,1.234986487362446,0.66131926,0,False
